Player	ECR / ADP	PASS_YD	PASS_TD	INT	RUSH_ATT	RUSH_YD	RUSH_TD	REC	REC_YD	REC_TD	Points
Deshaun Watson	12.06 / 15.02	3354.1	19.4	10.8	-	385.2	3.2	-	-	-	247.88
Baker Mayfield	12.12 / 13.04	3610.8	23.5	11.6	-	171.1	1.4	-	-	-	240.74
Matthew Stafford	10.11 / 12.11	3885.1	23.4	11.2	-	67.8	0.6	-	-	-	236.98
Geno Smith	12.05 / 16.04	3494.5	21.4	11.7	-	204.0	1.7	-	-	-	232.58
Daniel Jones	14.12 / 19.03	2796.6	16.0	9.2	-	469.1	3.5	-	-	-	225.37
Breece Hall	1.04 / 1.04	-	-	-	249.5	1040.3	7.6	63.1	510.4	3.8	223.47
Bijan Robinson	1.06 / 1.05	-	-	-	243.8	1013.4	6.8	65.8	549.8	4.3	222.92
Will Levis	13.07 / 14.10	3442.4	19.5	12.5	-	185.2	2.2	-	-	-	222.42
Sam Darnold	15.05 / 19.08	3518.2	19.8	13.9	-	173.2	2.1	-	-	-	222.05
Bo Nix	16.01 / 15.01	3094.2	18.7	12.3	-	281.0	3.0	-	-	-	220.07
Derek Carr	15.03 / 19.02	3456.5	21.9	11.3	-	71.1	0.5	-	-	-	213.37
Bryce Young	15.04 / 18.10	3239.8	18.3	11.0	-	235.4	1.2	-	-	-	211.53
Jonathan Taylor	1.11 / 1.10	-	-	-	283.6	1082.0	9.2	37.3	279.2	1.6	200.92
Russell Wilson	17.07 / 16.02	2675.9	15.7	8.9	-	297.3	2.6	-	-	-	197.37
Saquon Barkley	2.01 / 1.11	-	-	-	268.8	1030.9	7.3	44.2	324.0	3.0	197.29
Tyreek Hill	1.03 / 1.02	-	-	-	-	-	-	100.8	1396.1	9.4	196.01
Ceedee Lamb	1.02 / 1.03	-	-	-	-	-	-	107.2	1345.2	9.4	190.92
Jahmyr Gibbs	1.12 / 2.01	-	-	-	202.5	883.7	8.4	54.6	388.8	2.2	190.85
Gardner Minshew	-	2872.9	17.7	9.9	-	123.5	1.8	-	-	-	189.07
Derrick Henry	2.05 / 2.06	-	-	-	269.1	993.7	10.6	24.9	199.2	0.9	188.29
Kyren Williams	2.09 / 2.04	-	-	-	245.4	973.5	9.0	34.4	251.2	1.9	187.87
Travis Etienne	2.07 / 2.05	-	-	-	250.1	934.8	7.3	46.1	358.1	1.2	180.29
Josh Jacobs	4.02 / 2.12	-	-	-	258.2	952.6	7.7	39.9	303.4	1.2	179.0
Jamarr Chase	1.05 / 1.07	-	-	-	-	-	-	99.7	1265.4	8.6	178.14
Justin Jefferson	1.08 / 1.06	-	-	-	-	-	-	95.7	1321.5	7.5	177.15
Aj Brown	1.09 / 1.09	-	-	-	-	-	-	88.4	1274.2	8.2	176.62
Amon Ra St Brown	1.07 / 1.08	-	-	-	-	-	-	106.6	1264.9	8.3	176.29
James Cook	4.07 / 3.12	-	-	-	231.7	930.9	4.2	45.0	382.4	2.8	173.33
Devon Achane	3.05 / 2.09	-	-	-	175.0	783.6	7.0	45.4	348.3	2.9	172.59
Isiah Pacheco	2.12 / 2.08	-	-	-	238.1	931.0	6.9	38.8	258.2	1.9	171.72
Joe Mixon	4.10 / 4.06	-	-	-	244.8	852.1	6.9	40.1	304.4	2.2	170.25
Rachaad White	4.09 / 3.11	-	-	-	235.2	823.8	5.6	52.6	398.2	2.4	170.2
Kenneth Walker	4.08 / 4.08	-	-	-	240.9	921.5	8.2	29.1	224.2	1.0	169.77
David Montgomery	6.01 / 5.12	-	-	-	205.1	833.9	9.6	22.4	167.6	0.8	162.55
Garrett Wilson	1.10 / 1.12	-	-	-	-	-	-	90.8	1138.4	7.7	160.04
Drake Maye	-	2452.3	12.2	10.1	-	206.4	1.6	-	-	-	156.93
Mike Evans	2.10 / 3.07	-	-	-	-	-	-	69.9	1053.5	8.5	156.35
Puka Nacua	2.02 / 2.02	-	-	-	-	-	-	87.8	1162.8	6.6	155.88
Alvin Kamara	5.02 / 4.09	-	-	-	204.7	668.6	4.6	65.8	446.4	2.2	152.3
Aaron Jones	6.03 / 5.05	-	-	-	189.3	749.6	4.9	42.8	313.5	1.9	147.11
James Conner	5.12 / 5.07	-	-	-	201.6	782.0	6.3	32.6	222.2	1.4	146.62
Davante Adams	2.06 / 2.07	-	-	-	-	-	-	86.8	1051.0	6.9	146.5
Najee Harris	6.10 / 6.07	-	-	-	237.2	856.4	5.8	28.6	180.8	1.2	145.72
Chris Olave	2.08 / 3.01	-	-	-	-	-	-	84.0	1082.8	5.8	143.08
Drake London	2.04 / 2.10	-	-	-	-	-	-	82.8	1034.7	6.6	143.07
Raheem Mostert	7.01 / 6.12	-	-	-	168.7	692.8	8.0	25.4	179.2	1.3	143.0
Marvin Harrison	2.03 / 2.03	-	-	-	-	-	-	83.1	1057.6	6.1	142.36
Dk Metcalf	3.09 / 4.04	-	-	-	-	-	-	69.8	995.5	6.9	140.95
Rhamondre Stevenson	6.04 / 5.08	-	-	-	208.9	794.7	4.7	41.0	282.2	0.8	140.69
Devonta Smith	4.03 / 4.10	-	-	-	-	-	-	77.6	1015.6	6.4	139.96
Nico Collins	3.02 / 3.05	-	-	-	-	-	-	72.7	1032.9	6.1	139.89
Brandon Aiyuk	3.04 / 3.10	-	-	-	-	-	-	75.2	1014.3	6.3	139.23
Zamir White	7.05 / 6.10	-	-	-	235.3	823.8	4.8	32.9	229.9	0.8	138.97
Rashee Rice	5.06 / 7.01	-	-	-	-	-	-	79.6	959.8	7.1	138.58
Dandre Swift	7.02 / 6.02	-	-	-	178.3	719.8	5.3	36.5	251.8	1.6	138.56
Zack Moss	9.03 / 8.03	-	-	-	170.3	723.4	6.2	29.5	204.7	1.4	138.41
Dj Moore	3.12 / 4.05	-	-	-	-	-	-	71.8	989.1	6.4	137.31
Brian Robinson	7.11 / 8.06	-	-	-	185.3	725.8	4.9	28.8	241.2	1.8	136.9
Tony Pollard	7.08 / 7.07	-	-	-	197.5	753.4	5.4	34.2	236.7	0.9	136.81
Cooper Kupp	3.07 / 3.09	-	-	-	-	-	-	79.8	959.1	6.6	135.51
Jaylen Waddle	3.03 / 4.03	-	-	-	-	-	-	76.6	1025.2	5.1	133.12
Javonte Williams	7.06 / 7.08	-	-	-	204.2	742.4	4.1	41.2	247.1	1.5	132.55
Jaylen Warren	8.06 / 8.04	-	-	-	142.4	656.1	3.9	47.5	323.9	1.7	131.6
Michael Pittman	4.04 / 4.01	-	-	-	-	-	-	89.1	995.0	5.3	131.3
Amari Cooper	4.06 / 5.06	-	-	-	-	-	-	68.0	972.4	5.6	130.84
Sam Laporta	3.08 / 3.04	-	-	-	-	-	-	82.7	852.8	7.5	130.28
Tee Higgins	5.01 / 5.10	-	-	-	-	-	-	68.3	921.1	6.1	128.71
Stefon Diggs	4.12 / 4.07	-	-	-	-	-	-	76.6	919.3	6.1	128.53
Chase Brown	9.06 / 9.11	-	-	-	142.4	618.2	4.0	37.3	312.6	1.9	128.48
Travis Kelce	3.10 / 3.02	-	-	-	-	-	-	82.0	870.4	6.9	128.44
Deebo Samuel Sr	2.11 / 3.03	-	-	-	-	-	-	66.9	924.7	5.9	127.87
Devin Singletary	8.02 / 7.11	-	-	-	196.5	742.9	4.4	33.0	212.9	0.7	126.18
Jerome Ford	10.01 / 10.02	-	-	-	168.7	663.0	4.0	34.2	243.8	1.9	126.08
Zay Flowers	5.07 / 6.01	-	-	-	-	-	-	73.3	916.8	5.6	125.28
Deandre Hopkins	8.04 / 9.05	-	-	-	-	-	-	64.7	900.9	5.7	124.29
George Pickens	5.04 / 5.11	-	-	-	-	-	-	70.7	948.6	4.9	124.26
Austin Ekeler	10.03 / 8.09	-	-	-	126.6	479.7	4.2	46.3	383.8	2.0	123.55
Tyjae Spears	8.12 / 9.04	-	-	-	141.6	585.6	3.6	43.3	336.0	1.6	123.36
Malik Nabers	4.05 / 4.12	-	-	-	-	-	-	75.4	917.4	5.1	122.34
Terry Mclaurin	5.09 / 6.08	-	-	-	-	-	-	72.8	941.1	4.5	121.11
Nick Chubb	11.03 / 8.08	-	-	-	149.7	726.7	5.0	17.5	138.2	0.6	120.09
Calvin Ridley	6.09 / 7.06	-	-	-	-	-	-	71.2	893.8	5.1	119.98
Jordan Addison	9.12 / 9.07	-	-	-	-	-	-	64.9	833.8	5.9	118.78
Christian Kirk	6.02 / 6.11	-	-	-	-	-	-	77.2	904.3	4.6	118.03
Mark Andrews	4.11 / 5.02	-	-	-	-	-	-	67.8	778.2	6.7	118.02
Tank Dell	5.11 / 6.04	-	-	-	-	-	-	70.0	851.3	5.4	117.53
Chris Godwin	6.07 / 7.05	-	-	-	-	-	-	80.3	898.7	4.6	117.47
Courtland Sutton	9.02 / 10.06	-	-	-	-	-	-	62.3	825.3	5.8	117.33
Ezekiel Elliott	10.10 / 10.01	-	-	-	170.2	563.2	5.5	29.2	193.8	1.3	116.5
Jonathon Brooks	9.11 / 8.12	-	-	-	152.1	664.3	4.4	23.1	177.9	0.9	116.02
Gus Edwards	10.04 / 10.05	-	-	-	183.9	677.4	5.3	15.0	131.2	0.4	115.06
Marquise Brown	9.08 / 9.02	-	-	-	-	-	-	56.7	755.1	6.1	112.11
Diontae Johnson	6.11 / 7.12	-	-	-	-	-	-	70.2	830.6	4.8	111.86
George Kittle	7.07 / 5.09	-	-	-	-	-	-	61.4	781.7	5.6	111.77
Dalton Kincaid	6.05 / 5.04	-	-	-	-	-	-	79.1	778.6	5.5	110.86
Chuba Hubbard	11.06 / 12.06	-	-	-	156.3	636.2	4.0	27.7	192.6	0.5	109.88
Keenan Allen	7.04 / 7.04	-	-	-	-	-	-	73.1	816.2	4.7	109.82
Christian Watson	8.05 / 9.03	-	-	-	-	-	-	51.1	729.7	6.1	109.57
Trey Mcbride	5.03 / 5.01	-	-	-	-	-	-	82.0	796.4	4.7	107.84
Jk Dobbins	12.08 / 11.09	-	-	-	133.6	570.4	3.7	24.9	188.4	1.5	107.08
Jayden Reed	7.10 / 7.10	-	-	-	-	-	-	63.3	762.0	5.0	106.2
Xavier Worthy	8.09 / 8.02	-	-	-	-	-	-	55.2	767.7	4.9	106.17
Kyle Pitts	7.03 / 6.06	-	-	-	-	-	-	65.3	785.6	4.6	106.16
Jaxon Smith Njigba	8.03 / 9.06	-	-	-	-	-	-	68.0	775.9	4.6	105.19
Gabe Davis	13.04 / 14.09	-	-	-	-	-	-	50.0	719.9	5.5	104.99
Ty Chandler	12.11 / 13.02	-	-	-	146.6	598.6	4.3	21.1	154.9	0.6	104.75
Tyler Lockett	10.09 / 12.03	-	-	-	-	-	-	65.9	756.2	4.6	103.22
Ladd Mcconkey	9.10 / 9.10	-	-	-	-	-	-	61.9	750.0	4.7	103.2
Brian Thomas	9.07 / 10.04	-	-	-	-	-	-	63.2	756.9	4.4	102.09
Khalil Shakir	11.09 / 11.07	-	-	-	-	-	-	61.4	750.6	4.5	102.06
Tyler Allgeier	13.01 / 14.03	-	-	-	134.3	549.2	3.8	21.1	167.1	1.2	101.63
Blake Corum	11.05 / 10.11	-	-	-	138.3	544.5	4.6	19.5	152.3	0.7	101.48
Rico Dowdle	12.03 / 11.11	-	-	-	140.0	545.3	3.6	23.6	181.0	1.2	101.43
Mike Williams	12.04 / 14.04	-	-	-	-	-	-	56.1	709.5	5.0	100.95
David Njoku	8.11 / 8.01	-	-	-	-	-	-	66.9	720.8	4.8	100.88
Jake Ferguson	8.08 / 7.09	-	-	-	-	-	-	69.1	692.7	5.2	100.47
Joshua Palmer	11.04 / 13.03	-	-	-	-	-	-	58.3	712.7	4.7	99.47
Antonio Gibson	13.05 / 13.10	-	-	-	119.8	461.3	2.6	38.1	286.2	1.2	97.55
Evan Engram	7.12 / 6.09	-	-	-	-	-	-	82.5	746.0	3.8	97.4
Khalil Herbert	14.08 / 16.01	-	-	-	148.1	597.2	3.4	16.6	114.9	0.9	97.01
Rome Odunze	8.10 / 8.05	-	-	-	-	-	-	58.5	693.6	4.6	96.96
Trey Benson	12.01 / 10.03	-	-	-	134.2	527.0	3.9	19.1	139.4	0.9	95.44
Jerry Jeudy	12.10 / 13.06	-	-	-	-	-	-	61.9	729.7	3.7	95.17
Jaleel Mclaughlin	12.07 / 13.05	-	-	-	102.6	498.4	2.7	32.8	215.1	1.2	94.75
Keon Coleman	10.07 / 10.08	-	-	-	-	-	-	55.8	671.2	4.6	94.72
Jakobi Meyers	10.12 / 12.10	-	-	-	-	-	-	64.6	669.9	4.6	94.59
Jameson Williams	10.05 / 10.10	-	-	-	-	-	-	51.9	710.5	3.8	93.85
Brandin Cooks	11.12 / 13.08	-	-	-	-	-	-	54.0	631.2	5.0	93.12
Demario Douglas	14.05 / 18.04	-	-	-	-	-	-	61.6	736.4	3.2	92.84
Zach Charbonnet	11.10 / 12.08	-	-	-	117.5	486.4	2.9	31.8	213.1	0.8	92.15
Curtis Samuel	12.02 / 11.10	-	-	-	-	-	-	61.0	644.7	4.6	92.07
Brock Bowers	9.09 / 8.10	-	-	-	-	-	-	60.2	649.9	4.5	91.99
Rashid Shaheed	11.08 / 13.07	-	-	-	-	-	-	48.5	697.7	3.7	91.97
Jalynn Polk	14.07 / 15.08	-	-	-	-	-	-	58.7	723.0	3.2	91.5
Darnell Mooney	14.01 / 17.07	-	-	-	-	-	-	50.9	664.5	4.1	91.05
Romeo Doubs	11.07 / 11.12	-	-	-	-	-	-	54.2	603.1	4.9	89.71
Dontayvion Wicks	13.09 / 13.12	-	-	-	-	-	-	46.1	582.6	4.8	87.06
Jacoby Brissett	-	1300.9	7.4	4.8	-	94.5	0.8	-	-	-	86.29
Dallas Goedert	10.02 / 9.12	-	-	-	-	-	-	64.0	635.4	3.6	85.14
Demarcus Robinson	16.09 / 23.03	-	-	-	-	-	-	45.8	587.1	4.4	85.11
Adam Thielen	13.11 / 14.05	-	-	-	-	-	-	69.0	607.2	4.0	84.72
Adonai Mitchell	14.04 / 14.01	-	-	-	-	-	-	48.6	616.4	3.8	84.44
Dj Chark	21.02 / 24.08	-	-	-	-	-	-	39.1	560.7	4.7	84.27
Bucky Irving	15.02 / 17.04	-	-	-	116.2	436.6	2.8	21.0	164.8	1.0	82.94
Josh Downs	13.03 / 15.10	-	-	-	-	-	-	54.9	626.5	3.3	82.45
Michael Wilson	14.06 / 17.03	-	-	-	-	-	-	49.8	584.0	3.7	80.6
Darius Slayton	19.09 / 25.09	-	-	-	-	-	-	43.4	612.3	3.2	80.43
Marshawn Lloyd	13.12 / 14.08	-	-	-	99.7	414.5	3.1	16.9	131.5	0.9	78.6
Jordan Mason	16.06 / 18.11	-	-	-	100.3	442.0	3.8	10.1	74.0	0.6	78.0
Taysom Hill	14.02 / 14.02	38.0	0.0	0.0	-	403.0	6.0	-	-	-	77.82
Rashod Bateman	14.11 / 21.08	-	-	-	-	-	-	46.2	593.6	3.0	77.36
Dalton Schultz	11.02 / 11.01	-	-	-	-	-	-	53.2	533.7	3.8	76.17
Ray Davis	13.10 / 17.02	-	-	-	86.4	390.5	2.9	16.7	136.7	0.9	75.52
Tj Hockenson	12.09 / 11.06	-	-	-	-	-	-	56.1	561.3	3.2	75.33
Josh Reynolds	22.07 / 28.05	-	-	-	-	-	-	41.0	532.4	3.6	74.84
Alexander Mattison	17.11 / 19.11	-	-	-	113.7	425.0	2.6	14.5	97.8	1.0	73.88
Pat Freiermuth	11.01 / 11.08	-	-	-	-	-	-	54.8	504.9	3.7	72.69
Jalen Mcmillan	18.07 / 23.02	-	-	-	-	-	-	43.9	524.2	3.3	72.22
Justin Fields	-	761.3	4.1	3.1	-	219.5	1.6	-	-	-	72.2
Jamaal Williams	20.10 / 21.05	-	-	-	114.7	420.4	3.0	17.9	102.2	0.3	72.06
Aidan Oconnell	-	1242.7	6.5	4.6	-	36.6	0.3	-	-	-	71.97
Cade Otton	14.09 / 16.12	-	-	-	-	-	-	49.3	490.1	3.8	71.81
Hunter Henry	13.06 / 16.08	-	-	-	-	-	-	48.3	450.9	4.4	71.49
Wandale Robinson	15.06 / 20.07	-	-	-	-	-	-	61.1	546.5	2.8	71.45
Tyrone Tracy	18.01 / 17.10	-	-	-	102.4	396.4	2.5	16.3	119.5	0.8	71.39
Cole Kmet	13.08 / 12.07	-	-	-	-	-	-	50.9	476.9	3.9	71.09
Xavier Legette	15.09 / 14.06	-	-	-	-	-	-	45.6	504.1	3.4	70.81
Luke Musgrave	13.02 / 15.04	-	-	-	-	-	-	47.5	499.4	3.4	70.34
Juwan Johnson	16.03 / 21.06	-	-	-	-	-	-	41.7	453.7	4.1	69.97
Braelon Allen	15.10 / 17.08	-	-	-	103.9	393.4	2.7	12.6	96.1	0.8	69.95
Marvin Mims	15.12 / 20.11	-	-	-	-	-	-	41.2	541.1	2.6	69.71
Quentin Johnston	18.02 / 18.03	-	-	-	-	-	-	40.6	504.7	3.2	69.67
Jalin Hyatt	19.04 / 25.06	-	-	-	-	-	-	43.2	539.7	2.5	68.97
Chigoziem Okonkwo	17.06 / 16.11	-	-	-	-	-	-	48.3	513.5	2.7	67.55
Isaiah Likely	15.08 / 15.07	-	-	-	-	-	-	35.2	423.2	4.1	66.92
Tyler Conklin	14.03 / 16.07	-	-	-	-	-	-	50.4	469.5	3.3	66.75
Kendrick Bourne	21.05 / 25.12	-	-	-	-	-	-	39.1	471.3	3.1	65.73
Noah Fant	15.01 / 17.09	-	-	-	-	-	-	45.9	488.5	2.8	65.65
Tyler Boyd	19.05 / 22.04	-	-	-	-	-	-	47.4	506.4	2.5	65.64
Roman Wilson	-	-	-	-	-	-	-	37.0	480.0	2.8	64.8
Tim Patrick	28.04 / 25.11	-	-	-	-	-	-	38.0	467.0	3.0	64.7
Jahan Dotson	-	-	-	-	-	-	-	35.5	435.7	3.5	64.57
Jalen Tolbert	-	-	-	-	-	-	-	37.5	464.3	3.0	64.43
Tank Bigsby	17.03 / 19.07	-	-	-	101.5	343.1	3.6	9.2	62.8	0.3	63.99
Jermaine Burton	-	-	-	-	-	-	-	34.9	442.6	2.9	61.66
Andrei Iosivas	-	-	-	-	-	-	-	36.3	424.0	3.2	61.6
Troy Franklin	-	-	-	-	-	-	-	35.6	443.3	2.5	59.33
Noah Brown	-	-	-	-	-	-	-	33.9	466.2	2.1	59.22
Jonnu Smith	20.08 / 16.05	-	-	-	-	-	-	37.8	417.1	2.9	59.11
Elijah Moore	-	-	-	-	-	-	-	37.2	428.4	2.5	57.84
Miles Sanders	21.06 / 23.01	-	-	-	96.9	349.6	2.0	16.2	99.8	0.1	57.54
Greg Dortch	-	-	-	-	-	-	-	40.9	424.1	2.5	57.41
Ricky Pearsall	16.10 / 18.08	-	-	-	-	-	-	32.2	393.9	3.0	57.39
Tre Tucker	-	-	-	-	-	-	-	35.0	424.4	2.4	56.84
Hayden Hurst	26.06 / 24.04	-	-	-	-	-	-	40.6	390.9	2.9	56.49
Kenneth Gainwell	-	-	-	-	72.2	277.3	2.1	17.8	124.1	0.5	55.74
Malachi Corley	-	-	-	-	-	-	-	35.2	404.2	2.5	55.42
Jaylen Wright	14.10 / 12.09	-	-	-	57.8	270.4	2.2	12.8	104.4	0.7	54.88
Jonathan Mingo	-	-	-	-	-	-	-	36.0	422.8	2.1	54.88
Luke Mccaffrey	-	-	-	-	-	-	-	35.9	422.7	2.1	54.87
Dyami Brown	-	-	-	-	-	-	-	29.7	403.2	2.4	54.72
Ray Ray Mccloud	-	-	-	-	-	-	-	36.5	374.2	2.8	54.22
Mike Gesicki	20.02 / 21.12	-	-	-	-	-	-	35.9	352.0	3.1	53.8
Odell Beckham	-	-	-	-	-	-	-	27.9	379.6	2.6	53.56
Dameon Pierce	-	-	-	-	72.8	306.2	2.2	10.5	76.8	0.2	52.7
Roschon Johnson	16.05 / 19.10	-	-	-	66.9	263.2	2.0	17.9	118.5	0.4	52.57
Audric Estime	-	-	-	-	68.2	275.6	1.9	12.9	96.9	0.5	51.65
Zach Ertz	21.04 / 23.04	-	-	-	-	-	-	38.4	353.7	2.7	51.57
Clyde Edwards Helaire	19.10 / 19.12	-	-	-	58.3	225.3	1.5	14.2	119.0	1.2	50.63
Ben Sinnott	19.08 / 16.10	-	-	-	-	-	-	35.5	361.0	2.4	50.5
Donta Foreman	-	-	-	-	64.3	280.4	2.0	10.6	78.0	0.3	49.64
Dawson Knox	-	-	-	-	-	-	-	28.3	297.5	3.3	49.55
Samaje Perine	-	-	-	-	46.9	199.6	1.2	22.0	172.8	0.8	49.24
Cedrick Wilson	-	-	-	-	-	-	-	26.6	330.3	2.7	49.23
Tucker Kraft	-	-	-	-	-	-	-	32.7	341.3	2.5	49.13
Greg Dulcich	-	-	-	-	-	-	-	33.5	377.0	1.9	49.1
Theo Johnson	-	-	-	-	-	-	-	35.6	345.7	2.3	48.37
Alec Pierce	-	-	-	-	-	-	-	24.1	362.6	2.0	48.26
Trey Palmer	-	-	-	-	-	-	-	29.4	344.0	2.3	48.2
Kalif Raymond	-	-	-	-	-	-	-	28.9	356.9	1.9	47.09
Treylon Burks	-	-	-	-	-	-	-	27.0	358.0	1.8	46.6
At Perry	-	-	-	-	-	-	-	21.8	318.1	2.4	46.21
Kylen Granson	-	-	-	-	-	-	-	31.0	333.6	2.1	45.96
Justice Hill	-	-	-	-	57.8	231.1	1.6	13.8	102.4	0.5	45.95
Gerald Everett	-	-	-	-	-	-	-	32.5	302.0	2.6	45.8
Kendre Miller	-	-	-	-	54.2	221.8	1.7	11.9	100.5	0.5	45.43
Jatavion Sanders	-	-	-	-	-	-	-	29.9	311.0	2.3	44.9
Tyler Higbee	-	-	-	-	-	-	-	31.8	323.9	2.0	44.39
Jalen Nailor	-	-	-	-	-	-	-	27.5	341.5	1.7	44.35
Van Jefferson	-	-	-	-	-	-	-	24.1	327.1	1.9	44.11
Michael Mayer	-	-	-	-	-	-	-	29.0	313.0	2.0	43.3
Keaton Mitchell	-	-	-	-	52.5	255.0	1.6	8.6	69.4	0.2	43.24
Colby Parkinson	-	-	-	-	-	-	-	27.8	293.6	2.3	43.16
Cedric Tillman	-	-	-	-	-	-	-	24.1	307.9	2.0	42.79
Jauan Jennings	-	-	-	-	-	-	-	24.8	302.9	2.0	42.29
Nelson Agholor	-	-	-	-	-	-	-	23.3	291.8	2.1	41.78
Kimani Vidal	-	-	-	-	47.0	231.8	1.6	10.8	76.5	0.2	41.63
Tommy Tremble	-	-	-	-	-	-	-	27.5	261.6	2.5	41.16
Chris Rodriguez	-	-	-	-	0.0	235.0	2.0	7.0	51.0	0.0	40.6
Daniel Bellinger	-	-	-	-	-	-	-	31.4	297.5	1.8	40.55
Trey Sermon	-	-	-	-	52.8	254.5	1.4	7.9	54.5	0.2	40.5
Zay Jones	-	-	-	-	-	-	-	25.7	291.0	1.9	40.5
Dalvin Cook	-	-	-	-	49.3	229.6	1.6	8.4	60.8	0.3	40.44
Kj Osborn	-	-	-	-	-	-	-	24.8	301.0	1.7	40.3
Isaac Guerendo	-	-	-	-	39.2	226.5	1.9	6.5	52.9	0.1	39.94
Eric Gray	-	-	-	-	39.5	206.5	1.4	10.8	73.4	0.5	39.39
Devontez Walker	-	-	-	-	-	-	-	22.3	273.2	2.0	39.32
Calvin Austin	-	-	-	-	-	-	-	25.4	294.7	1.6	39.07
Ty Johnson	-	-	-	-	39.7	165.3	1.1	13.1	111.2	0.7	38.45
Kavontae Turpin	-	-	-	-	-	-	-	18.7	220.3	2.6	37.63
Emanuel Wilson	-	-	-	-	40.8	194.9	1.3	10.0	72.7	0.5	37.56
Khadarel Hodge	-	-	-	-	-	-	-	20.6	272.0	1.7	37.4
Olamide Zaccheaus	-	-	-	-	-	-	-	22.1	270.4	1.6	36.64
Allen Lazard	-	-	-	-	-	-	-	19.4	249.9	1.8	35.79
Javon Baker	-	-	-	-	-	-	-	22.4	269.7	1.4	35.37
Pierre Strong	-	-	-	-	51.1	226.6	1.2	5.5	42.3	0.1	34.69
Sam Howell	-	494.1	3.1	2.2	-	39.0	0.4	-	-	-	34.06
Noah Gray	-	-	-	-	-	-	-	22.7	237.7	1.7	33.97
Will Dissly	-	-	-	-	-	-	-	24.8	238.7	1.6	33.47
Cam Akers	-	-	-	-	41.3	192.5	1.4	5.7	43.6	0.2	33.21
Drew Lock	-	505.0	3.3	1.8	-	24.9	0.1	-	-	-	32.89
Emari Demercado	-	-	-	-	34.2	149.1	1.1	13.4	88.4	0.4	32.75
Nick Mullens	-	562.0	3.0	2.1	-	18.2	0.1	-	-	-	32.7
John Metchie	-	-	-	-	-	-	-	19.2	232.7	1.5	32.27
Trenton Irwin	-	-	-	-	-	-	-	18.2	230.2	1.5	32.02
Juju Smith Schuster	-	-	-	-	-	-	-	21.2	223.8	1.6	31.98
Cordarrelle Patterson	-	-	-	-	36.0	155.5	1.1	10.4	79.0	0.3	31.85
Xavier Gipson	-	-	-	-	-	-	-	19.4	221.4	1.6	31.74
Mo Alie Cox	-	-	-	-	-	-	-	17.3	194.1	2.0	31.41
Parker Washington	-	-	-	-	-	-	-	20.4	217.1	1.6	31.31
Evan Hull	-	-	-	-	0.0	134.0	1.0	8.0	59.0	1.0	31.3
Will Shipley	-	-	-	-	30.0	167.6	1.4	5.2	40.6	0.3	31.02
Tutu Atwell	-	-	-	-	-	-	-	17.4	229.8	1.2	30.18
Deuce Vaughn	-	-	-	-	40.0	148.0	1.2	9.1	68.5	0.2	30.05
Isaiah Davis	-	-	-	-	45.7	168.4	1.3	5.6	41.0	0.1	29.34
Brevin Jordan	-	-	-	-	-	-	-	14.6	183.8	1.7	28.58
Jarrett Stidham	-	439.7	2.4	1.8	-	26.0	0.3	-	-	-	27.99
