	vs ECR	PTS	PLAYER	ATTD	PASS_TD	PASS_YD	INT	RUSH_YD	REC	REC_YD	INC
WR43	-1	6.2	Xavier Legette	0.99	-	-	-	-	1.6	3.63	,rec,rec_yd,
TE13	'+1	6.0	Tucker Kraft	1.52	-	-	-	-	1.65	2.84	,,
WR44	'+7	6.0	Jalen Coker	0.83	-	-	-	-	1.6	3.54	,rec,rec_yd,
WR45	'+7	5.9	Kayshon Boutte	1.14	-	-	-	-	1.42	3.33	,,
WR46	'+2	5.8	Joshua Palmer	1.4	-	-	-	-	0.8	3.62	,,
TE14	'+1	5.8	Zach Ertz	1.43	-	-	-	-	1.76	2.63	,,
WR47	'+6	5.8	Devaughn Vele	1.14	-	-	-	-	1.64	3.01	,,
RB28	'+6	5.7	Roschon Johnson	1.66	-	-	-	2.63	0.55	0.82	,rush_yd,rec,rec_yd,
WR48	-1	5.6	Nick Westbrook Ikhine	0.95	-	-	-	-	1.36	3.32	,,
WR49	'+9	5.5	Tre Tucker	1.1	-	-	-	0.49	1.42	2.51	,,
TE15	'+2	5.2	Dalton Schultz	1.11	-	-	-	-	1.47	2.57	,,
TE16	'+3	5.1	Isaiah Likely	1.18	-	-	-	-	1.27	2.68	,,
RB29	'+36	5.1	Dylan Laube	0.78	-	-	-	2.7	0.65	0.99	,rush_yd,rec,rec_yd,
RB30	'+7	5.1	Zach Charbonnet	1.03	-	-	-	1.75	1.0	1.33	,rush_yd,rec,rec_yd,
RB31	'+1	5.1	Cam Akers	0.97	-	-	-	2.79	0.5	0.83	,rush_yd,rec,rec_yd,
WR50	0	5.1	Alec Pierce	1.03	-	-	-	-	1.05	3.0	,,
RB32	'+1	5.1	Justice Hill	0.79	-	-	-	1.2	1.15	1.93	,rush_yd,rec,rec_yd,
WR51	'+3	5.1	Darius Slayton	0.86	-	-	-	-	1.45	2.74	,rec,
WR52	'+3	5.0	Michael Wilson	1.11	-	-	-	-	1.3	2.6	,,
TE17	'+9	5.0	Luke Schoonmaker	0.67	-	-	-	-	1.71	2.6	,,
WR53	'+8	5.0	Jalen Tolbert	0.75	-	-	-	-	1.3	2.9	,rec,rec_yd,
RB33	'+8	4.8	Raheem Mostert	1.93	-	-	-	1.81	0.4	0.65	,rush_yd,rec,rec_yd,
WR54	'+6	4.8	Kendrick Bourne	0.94	-	-	-	-	1.24	2.58	,,
RB34	'+8	4.7	Jonathon Brooks	0.73	-	-	-	2.35	0.65	0.92	,rush_yd,rec,rec_yd,
WR55	'+1	4.7	Demarcus Robinson	1.07	-	-	-	-	1.15	2.44	,,
RB35	-5	4.6	Audric Estime	1.24	-	-	-	2.37	0.4	0.59	,rec,rec_yd,
RB36	'+3	4.6	Devin Singletary	1.16	-	-	-	2.01	0.6	0.82	,rec,rec_yd,
WR56	'+27	4.5	Jahan Dotson	0.67	-	-	-	-	1.05	2.76	,rec,rec_yd,
TE18	-2	4.5	Cole Kmet	0.82	-	-	-	-	1.36	2.28	,,
TE19	-1	4.4	Jatavion Sanders	0.46	-	-	-	-	1.3	2.68	,rec,rec_yd,
WR57	0	4.2	Jalen Mcmillan	0.93	-	-	-	-	1.0	2.25	,,
RB37	-2	4.2	Trey Benson	0.86	-	-	-	2.39	0.4	0.53	,rush_yd,rec,rec_yd,
RB38	'+6	4.2	Isiah Pacheco	4.15	-	-	-	-	-	-	,rush_yd,rec,rec_yd,
TE20	'+4	4.0	Aj Barner	1.14	-	-	-	-	1.0	1.86	,rec,rec_yd,
RB39	-3	3.9	Gus Edwards	0.8	-	-	-	2.71	0.15	0.24	,rush_yd,rec,rec_yd,
WR58	'+19	3.8	Tyler Boyd	0.65	-	-	-	-	1.05	2.1	,rec,rec_yd,
TE21	'+2	3.8	Theo Johnson	0.61	-	-	-	-	1.45	1.71	,rec,
WR59	'+4	3.7	Liljordan Humphrey	0.87	-	-	-	-	1.13	1.74	,,
WR60	'+8	3.7	Adonai Mitchell	0.44	-	-	-	-	0.9	2.38	,rec,rec_yd,
WR61	'+12	3.7	Diontae Johnson	0.65	-	-	-	-	0.85	2.18	,rec,rec_yd,
WR62	'+18	3.6	Olamide Zaccheaus	0.59	-	-	-	-	0.85	2.19	,rec,rec_yd,
WR63	'+11	3.6	Sterling Shepard	0.9	-	-	-	-	1.03	1.69	,,
TE22	'+18	3.6	Noah Fant	1.13	-	-	-	-	0.8	1.67	,rec,rec_yd,
RB40	'+10	3.5	Samaje Perine	0.41	-	-	-	0.62	1.0	1.47	,rush_yd,rec,rec_yd,
WR64	'+2	3.5	John Metchie	0.58	-	-	-	-	1.13	1.77	,,
WR65	'+10	3.5	Odell Beckham	0.62	-	-	-	-	0.8	2.04	,rec,rec_yd,
WR66	'+10	3.4	Tim Patrick	0.63	-	-	-	-	0.75	2.0	,rec,rec_yd,
RB41	'+2	3.4	Jaleel Mclaughlin	0.79	-	-	-	1.54	0.45	0.6	,rush_yd,rec,rec_yd,
TE23	'+4	3.3	Austin Hooper	0.58	-	-	-	-	1.1	1.66	,,
RB42	-4	3.3	Jaylen Wright	0.82	-	-	-	2.16	0.15	0.18	,rush_yd,rec,rec_yd,
WR67	-18	3.3	Ricky Pearsall	0.67	-	-	-	-	1.09	1.55	,,
RB43	'+19	3.3	Julius Chestnut	0.55	-	-	-	1.83	0.35	0.56	,rush_yd,rec,rec_yd,
TE24	-3	3.3	Chigoziem Okonkwo	0.59	-	-	-	-	1.15	1.55	,,
WR68	'+18	3.3	Dj Turner	0.66	-	-	-	0.19	0.9	1.53	,,
TE25	0	3.2	Davis Allen	0.6	-	-	-	-	0.95	1.7	,rec,rec_yd,
RB44	'+3	3.2	Antonio Gibson	0.51	-	-	-	1.51	0.5	0.69	,rush_yd,rec,rec_yd,
WR69	'+41	3.2	Brandin Cooks	0.66	-	-	-	-	0.75	1.8	,rec,rec_yd,
TE26	-4	3.2	Noah Gray	0.7	-	-	-	-	1.01	1.51	,,
RB45	'+3	3.2	Ezekiel Elliott	0.84	-	-	-	1.67	0.3	0.4	,rush_yd,rec,rec_yd,
WR70	-8	3.2	Dontayvion Wicks	0.79	-	-	-	-	0.79	1.62	,,
RB46	'+3	3.2	Emanuel Wilson	0.75	-	-	-	1.74	0.3	0.39	,rush_yd,rec,rec_yd,
RB47	-2	3.2	Kenneth Gainwell	0.52	-	-	-	1.54	0.45	0.65	,rush_yd,rec,rec_yd,
WR71	-1	3.0	Juju Smith Schuster	0.75	-	-	-	-	0.9	1.34	,rec,
WR72	-5	2.8	Troy Franklin	0.6	-	-	-	-	0.78	1.44	,,
WR73	-4	2.7	Justin Watson	0.57	-	-	-	-	0.69	1.46	,,
TE27	'+24	2.6	Tucker Fisk	0.41	-	-	-	-	0.7	1.5	,rec,rec_yd,
WR74	'+14	2.6	Greg Dortch	0.35	-	-	-	-	0.75	1.5	,rec,rec_yd,
WR75	'+17	2.6	Dyami Brown	0.48	-	-	-	-	0.55	1.55	,rec,rec_yd,
WR76	'+23	2.6	Trey Palmer	0.3	-	-	-	-	0.65	1.61	,rec,rec_yd,
TE28	'+9	2.5	Brevyn Spann Ford	0.29	-	-	-	-	0.75	1.51	,rec,rec_yd,
TE29	'+4	2.5	Michael Mayer	0.29	-	-	-	-	0.75	1.49	,rec,rec_yd,
WR77	-5	2.5	Jalen Nailor	0.51	-	-	-	-	0.65	1.34	,,
WR78	-13	2.5	Marvin Mims	0.65	-	-	-	-	0.7	1.14	,rec,
TE30	'+22	2.5	Johnny Mundt	0.3	-	-	-	-	0.75	1.43	,rec,rec_yd,
WR79	'+6	2.5	David Moore	0.33	-	-	-	-	0.65	1.5	,rec,rec_yd,
TE31	'+11	2.5	Colby Parkinson	0.44	-	-	-	-	0.65	1.37	,rec,rec_yd,
RB48	'+3	2.5	Chris Brooks	0.51	-	-	-	1.15	0.35	0.44	,rush_yd,rec,rec_yd,
RB49	'+9	2.4	Emari Demercado	0.39	-	-	-	1.02	0.45	0.57	,rush_yd,rec,rec_yd,
WR80	-2	2.4	Kavontae Turpin	0.42	-	-	-	-	0.6	1.39	,rec,rec_yd,
RB50	-4	2.4	Blake Corum	0.48	-	-	-	1.31	0.25	0.36	,rush_yd,rec,rec_yd,
WR81	'+30	2.4	Johnny Wilson	0.32	-	-	-	-	0.6	1.45	,rec,rec_yd,
WR82	'+5	2.4	Luke Mccaffrey	0.49	-	-	-	-	0.55	1.33	,rec,rec_yd,
TE32	'+2	2.3	Josh Whyle	0.2	-	-	-	-	0.7	1.39	,rec,rec_yd,
WR83	'+15	2.3	Ryan Flournoy	0.14	-	-	-	-	0.65	1.5	,rec,rec_yd,
WR84	'+5	2.3	Mecole Hardman	0.43	-	-	-	-	0.55	1.29	,rec,rec_yd,
WR85	-1	2.3	Jalynn Polk	0.5	-	-	-	-	0.55	1.22	,rec,rec_yd,
WR86	-4	2.3	Kalif Raymond	0.44	-	-	-	-	0.5	1.32	,rec,rec_yd,
WR87	-6	2.3	Nelson Agholor	0.57	-	-	-	-	0.45	1.24	,rec,rec_yd,
WR88	-9	2.2	Malik Washington	0.47	-	-	-	-	0.5	1.22	,rec,rec_yd,
RB51	'+10	2.1	Sean Tucker	0.42	-	-	-	1.05	0.25	0.42	,rush_yd,rec,rec_yd,
TE33	-5	2.1	Lucas Krull	0.27	-	-	-	-	0.65	1.21	,rec,rec_yd,
RB52	'+5	2.1	Dameon Pierce	0.29	-	-	-	1.34	0.2	0.27	,rush_yd,rec,rec_yd,
RB53	'+42	2.1	Sincere Mccormick	0.28	-	-	-	1.48	0.15	0.17	,rush_yd,rec,rec_yd,
WR89	'+4	2.1	Rakim Jarrett	0.54	-	-	-	-	0.45	1.08	,rec,rec_yd,
WR90	'+6	2.1	Robert Woods	0.43	-	-	-	-	0.55	1.09	,rec,rec_yd,
TE34	-5	2.1	Adam Trautman	0.47	-	-	-	-	0.65	0.94	,rec,
WR91	'+13	2.0	Jonathan Mingo	0.2	-	-	-	-	0.55	1.29	,rec,rec_yd,
WR92	'+15	2.0	Ryan Miller	0.3	-	-	-	-	0.5	1.24	,rec,rec_yd,
TE35	'+8	2.0	Elijah Higgins	0.41	-	-	-	-	0.55	1.08	,rec,rec_yd,
WR93	-3	2.0	Tutu Atwell	0.26	-	-	-	-	0.5	1.26	,rec,rec_yd,
WR94	0	2.0	Jalen Reagor	0.54	-	-	-	-	0.4	1.08	,rec,rec_yd,
TE36	'+5	2.0	Tommy Tremble	0.31	-	-	-	-	0.6	1.09	,rec,rec_yd,
TE37	-7	1.9	Brock Wright	0.37	-	-	-	-	0.55	1.02	,rec,rec_yd,
RB54	'+5	1.9	Dare Ogunbowale	0.3	-	-	-	0.36	0.5	0.75	,rush_yd,rec,rec_yd,
TE38	0	1.8	Cade Stover	0.28	-	-	-	-	0.5	1.01	,rec,rec_yd,
RB55	-3	1.7	Jordan Mason	0.31	-	-	-	1.07	0.15	0.2	,rush_yd,rec,rec_yd,
WR95	'+19	1.7	Bryce Oliver	0.13	-	-	-	-	0.5	1.09	,rec,rec_yd,
WR96	-1	1.7	Xavier Hutchinson	0.19	-	-	-	-	0.45	1.01	,rec,rec_yd,
WR97	'+12	1.6	Derius Davis	0.37	-	-	-	-	0.35	0.91	,rec,rec_yd,
RB56	'+13	1.6	Carson Steele	0.49	-	-	-	0.85	0.1	0.17	,rush_yd,rec,rec_yd,
RB57	-2	1.6	Jamycal Hasty	0.2	-	-	-	0.8	0.25	0.34	,rush_yd,rec,rec_yd,
RB58	-4	1.6	Alexander Mattison	1.58	-	-	-	-	-	-	,rush_yd,rec,rec_yd,
TE39	'+6	1.5	Julian Hill	0.23	-	-	-	-	0.45	0.84	,rec,rec_yd,
WR98	'+19	1.5	Ramel Keyton	0.23	-	-	-	-	0.4	0.87	,rec,rec_yd,
TE40	'+9	1.5	Nick Vannett	0.22	-	-	-	-	0.5	0.78	,rec,rec_yd,
WR99	'+17	1.5	Ainias Smith	0.2	-	-	-	-	0.35	0.91	,rec,rec_yd,
RB59	-6	1.4	Jeremy Mcnichols	0.34	-	-	-	0.79	0.1	0.16	,rush_yd,rec,rec_yd,
WR100	'+2	1.4	Jake Bobo	0.24	-	-	-	-	0.35	0.76	,rec,rec_yd,
WR101	-4	1.4	Tyler Johnson	0.28	-	-	-	-	0.35	0.72	,rec,rec_yd,
TE41	-5	1.3	Kylen Granson	0.2	-	-	-	-	0.42	0.7	,,
RB60	'+3	1.3	Trey Sermon	0.23	-	-	-	0.59	0.2	0.3	,rush_yd,rec,rec_yd,
TE42	'+21	1.3	Pharaoh Brown	0.25	-	-	-	-	0.35	0.71	,rec,rec_yd,
TE43	'+5	1.3	Grant Calcaterra	0.37	-	-	-	-	0.3	0.62	,rec,rec_yd,
TE44	'+11	1.2	Hayden Hurst	0.32	-	-	-	-	0.3	0.63	,rec,rec_yd,
WR102	'+29	1.2	Jordan Whittington	0.09	-	-	-	-	0.35	0.79	,rec,rec_yd,
WR103	'+10	1.2	Brandon Powell	0.23	-	-	-	-	0.3	0.68	,rec,rec_yd,
TE45	'+8	1.2	Durham Smythe	0.18	-	-	-	-	0.35	0.63	,rec,rec_yd,
WR104	'+4	1.1	Jalin Hyatt	0.18	-	-	-	-	0.25	0.71	,rec,rec_yd,
RB61	'+5	1.1	Keaton Mitchell	0.52	-	-	-	0.27	0.15	0.19	,rush_yd,rec,rec_yd,
TE46	-2	1.1	Mo Alie Cox	0.27	-	-	-	-	0.35	0.5	,,
WR105	-2	1.1	Zay Jones	0.35	-	-	-	-	0.25	0.52	,rec,rec_yd,
TE47	'+12	1.1	Gerald Everett	0.24	-	-	-	-	0.3	0.55	,rec,rec_yd,
TE48	'+6	1.1	Drew Ogletree	0.18	-	-	-	-	0.3	0.61	,rec,rec_yd,
WR106	-5	1.0	Bo Melton	0.22	-	-	-	-	0.25	0.56	,rec,rec_yd,
RB62	'+10	1.0	Isaac Guerendo	0.11	-	-	-	0.62	0.1	0.14	,rush_yd,rec,rec_yd,
TE49	-3	0.9	Nate Adkins	0.25	-	-	-	-	0.25	0.44	,rec,rec_yd,
TE50	0	0.9	Charlie Kolar	0.18	-	-	-	-	0.25	0.49	,rec,rec_yd,
TE51	'+19	0.9	Peyton Hendershot	0.19	-	-	-	-	0.25	0.45	,rec,rec_yd,
RB63	'+7	0.8	Hassan Haskins	0.29	-	-	-	0.42	0.05	0.08	,rush_yd,rec,rec_yd,
WR107	-2	0.8	Jalen Brooks	0.64	-	-	-	-	0.05	0.15	,rec,rec_yd,
TE52	'+4	0.8	John Bates	0.21	-	-	-	-	0.2	0.43	,rec,rec_yd,
WR108	'+20	0.8	Chris Conley	0.36	-	-	-	-	0.15	0.33	,rec,rec_yd,
RB64	-8	0.8	Zamir White	0.82	-	-	-	-	-	-	,rush_yd,rec,rec_yd,
TE53	'+4	0.8	Stone Smartt	0.21	-	-	-	-	0.2	0.4	,rec,rec_yd,
WR109	-3	0.8	Ashton Dulin	0.29	-	-	-	-	0.15	0.36	,rec,rec_yd,
RB65	'+2	0.8	Tyjae Spears	0.78	-	-	-	-	-	-	,rush_yd,rec,rec_yd,
RB66	'+9	0.8	Hunter Luepke	-	-	-	-	0.18	0.25	0.35	,rush_yd,rec,rec_yd,
RB67	'+6	0.8	Deuce Vaughn	0.06	-	-	-	0.44	0.1	0.16	,rush_yd,rec,rec_yd,
WR110	'+2	0.7	Trent Sherfield	0.09	-	-	-	-	0.2	0.46	,rec,rec_yd,
WR111	-11	0.7	Tylan Wallace	0.15	-	-	-	-	0.15	0.42	,rec,rec_yd,
RB68	-4	0.7	Tyler Goodson	0.19	-	-	-	0.15	0.15	0.22	,rush_yd,rec,rec_yd,
TE54	'+17	0.7	Chris Manhertz	0.04	-	-	-	-	0.2	0.43	,rec,rec_yd,
RB69	'+30	0.7	Clyde Edwards Helaire	0.26	-	-	-	0.18	0.1	0.12	,rush_yd,rec,rec_yd,
TE55	'+5	0.6	Ben Sinnott	0.2	-	-	-	-	0.15	0.29	,rec,rec_yd,
WR112	'+14	0.6	Malik Heath	0.18	-	-	-	-	0.15	0.31	,rec,rec_yd,
WR113	'+12	0.6	Dj Chark	0.47	-	-	-	-	0.05	0.11	,rec,rec_yd,
WR114	'+21	0.6	Zach Pascal	0.11	-	-	-	-	0.15	0.35	,rec,rec_yd,
TE56	-21	0.6	Eric Saubert	0.32	-	-	-	-	0.1	0.18	,rec,rec_yd,
WR115	'+9	0.6	Laviska Shenault	0.09	-	-	-	-	0.15	0.35	,rec,rec_yd,
RB70	'+11	0.6	Eric Gray	0.04	-	-	-	0.14	0.15	0.23	,rush_yd,rec,rec_yd,
WR116	'+5	0.5	Kj Osborn	0.32	-	-	-	-	0.05	0.18	,rec,rec_yd,
RB71	'+13	0.5	Travis Homer	0.32	-	-	-	0.09	0.05	0.06	,rush_yd,rec,rec_yd,
TE57	'+10	0.5	Payne Durham	0.2	-	-	-	-	0.1	0.22	,rec,rec_yd,
TE58	'+11	0.5	Harrison Bryant	0.2	-	-	-	-	0.1	0.21	,rec,rec_yd,
WR117	'+13	0.5	River Cracraft	0.2	-	-	-	-	0.1	0.19	,rec,rec_yd,
TE59	-1	0.5	Ben Sims	0.2	-	-	-	-	0.1	0.19	,rec,rec_yd,
RB72	'+2	0.5	Ty Chandler	0.21	-	-	-	0.14	0.05	0.09	,rush_yd,rec,rec_yd,
RB73	'+3	0.5	Craig Reynolds	0.12	-	-	-	0.13	0.1	0.13	,rush_yd,rec,rec_yd,
WR118	'+1	0.5	Deandre Carter	0.04	-	-	-	-	0.15	0.29	,rec,rec_yd,
TE60	'+8	0.5	Shane Zylstra	0.18	-	-	-	-	0.1	0.19	,rec,rec_yd,
TE61	0	0.4	Hunter Long	0.04	-	-	-	-	0.15	0.24	,rec,rec_yd,
RB74	'+20	0.4	Deejay Dallas	-	-	-	-	0.17	0.1	0.15	,rush_yd,rec,rec_yd,
TE62	'+2	0.4	Daniel Bellinger	0.06	-	-	-	-	0.1	0.23	,rec,rec_yd,
WR119	'+8	0.4	Javon Baker	-	-	-	-	-	0.1	0.28	,rec,rec_yd,
TE63	-31	0.4	Josh Oliver	0.36	-	-	-	-	-	-	,rec,rec_yd,
RB75	'+2	0.4	Will Shipley	0.06	-	-	-	0.19	0.05	0.06	,rush_yd,rec,rec_yd,
WR120	'+12	0.3	Allen Robinson	0.18	-	-	-	-	0.05	0.12	,rec,rec_yd,
