EV	EV Book	Imp	Player	Prop	O/U	FD	DK	MGM	BV	CZ	Kambi/BR	PN	bet365	ESPN	Circa
11.4	250 365	29%	Oneil Cruz	hr	o 29.5	'+176	'+160	-	-	-	-	-	'+250	'+200	-
11.4	-110 CZ	52%	Jose Ramirez	rbi	o 89.5	-	-200	-	-	-110/-110	-	-	-140	-	-
10.7	-110 BR	52%	Julio Rodriguez	h	o 149.5	-	-220	-	-	-	-110/-110	-	-125	-	-
10.3	450 FD	18%	Christian Walker	hr	o 39.5	'+450	'+310	-	-	-	-	-	'+300	-	-
10.2	-105 365	51%	Mike Trout	hr	o 24.5	-	-340	-	-125/-105	-	-	-	-105/-115	-	-
9.9	215 FD	32%	Freddy Peralta	k	o 199.5	'+215	-	-	'+170	-	-	-	'+145	-	-
9.7	118 PN	46%	MIL	team_wins	o 83.5	-	'+100/-120	-	-125/-105	-120/-110	-	118/-141	-	-	-
9.6	250 BV	29%	Yusei Kikuchi	k	o 199.5	'+190	'+165	-	'+250	-	175	-	'+200	-	-
9.4	285 FD	26%	Jackson Chourio	hr	o 29.5	'+285	'+135	-	-	-	-	-	'+260	'+260	-
9.3	220 DK	31%	Isaac Paredes	hr	o 29.5	'+164	'+220	-	-	-	-	-	-	'+160	-
9.2	-110 365	52%	Pete Crow Armstrong	sb	o 29.5	-166	-150	-	-	-	-	-	-110	-	-
8.8	-102 FD	50%	Tarik Skubal	k	o 199.5	-102	-	-	-135	-	-175	-	-125	-	-
8.8	170 365	37%	Adolis Garcia	hr	o 29.5	'+128	'+115	-	-	-	-	-	'+170	'+140	-
8.7	-115 365	53%	Fernando Tatis	hr	o 29.5	-166	-	-	-	-	-	-	-115	-165	-
8.2	300 365	25%	Corbin Carroll	hr	o 29.5	'+255	'+175	-	-	-	-	-	'+300	'+240	-
8.2	-102 FD	50%	Christian Walker	hr	o 29.5	-102	-175	-	-	-	-	-	-130	-125	-
8.0	110 ESPN	48%	Kyle Tucker	hr	o 29.5	'+104	-155	-	-	-	-	-	-125	'+110	-
7.9	140 CZ	42%	MIL	playoffs	o  	'+106/-134	'+125/-150	-	-105/-125	140/-170	110/-137	-	-	-	-
7.6	-110 BR	52%	Yordan Alvarez	rbi	o 89.5	-	-205	-	-	-	-110/-110	-	-115	-	-
7.6	-120 CZ	55%	Vladimir Guerrero	hr	o 29.5	-178	-230	-	-	-120/100	-	-	-120	-	-
7.6	225 365	31%	Junior Caminero	hr	o 29.5	'+176	'+125	-	-	-	-	-	'+225	'+225	-
7.3	-170 365	63%	Yordan Alvarez	hr	o 29.5	-260	-265	-	-	-	-	-	-170	-	-
7.3	240 ESPN	29%	Lawrence Butler	hr	o 29.5	'+230	'+115	-	-	-	-	-	'+230	'+240	-
7.2	1400 CZ	7%	Yordan Alvarez	mvp	o  	-	-	-	-	1400	800	606	-	-	-
7.1	110 365	48%	Jose Ramirez	sb	o 29.5	'+102	-120	-	-125/-105	-	-	-	'+110	-	-
7.0	250 CZ	29%	Roki Sasaki	roty	o  	-	-	-	-	250	200	177	-	-	-
7.0	850 DK	11%	ATH	playoffs	o  	'+680/-1200	'+850/-1400	-	'+550/-1000	460/-800	500/-835	-	-	-	-
6.8	115 365	47%	Jose Ramirez	hr	o 29.5	'+104	-135	-110/-120	-125/-105	-	-	-	'+115	'+115	-
6.7	104 FD	49%	Marcell Ozuna	hr	o 29.5	'+104	-230	-	-	-110/-110	-	-	-130	-115/-115	-
6.4	490 FD	17%	PIT	playoffs	o  	'+490/-750	'+360/-475	-	'+380/-600	380/-525	325/-480	-	-	-	-
6.4	175 365	36%	Jake Burger	hr	o 29.5	'+164	-105	-	-	-	-	-	'+175	'+160	-
6.4	175 365	36%	Elly De La Cruz	sb	o 59.5	'+158	'+115	-	-	-	-	-	'+175	-	-
6.4	-130 365	57%	Anthony Santander	hr	o 29.5	-158	-230	-	-	-	-	-	-130	-165	-
6.2	120 365	45%	Marcell Ozuna	h	o 149.5	-	'+100	-	-110/-120	-	-	-	'+120	-	-
6.1	-110 CZ	52%	Seiya Suzuki	hr	o 19.5	-	-200	-	-	-110/-110	-	-	-110	-	-
5.9	-105 CZ	51%	Andrew Vaughn	hr	o 19.5	-	-170	-	-	-105/-115	-	-	-115	-	-
5.8	340 FD	23%	Gunnar Henderson	hr	o 39.5	'+340	'+230	-	-	-	-	-	'+275	-	-
5.6	425 DK	19%	Riley Greene	hr	o 29.5	'+300	'+425	-	-	-	-	-	'+270	'+350	-
5.3	-170 365	63%	Matt Olson	hr	o 29.5	-215	-280	-	-	-	-	-	-170	-	-
5.3	-115 365	53%	Austin Riley	hr	o 29.5	-132	-200	-	-	-	-	-	-115	-135	-
5.2	-110 365	52%	Anthony Volpe	hr	o 14.5	-115/-105	-260	-	-	-	-	-	-110/-110	-	-
5.1	125 PN	44%	TOR	team_wins	u 78.5	-	-115/-105	-	-140/+110	-	-	-149/125	-	-	-
5.0	-115 DK	53%	TOR	team_wins	o 78.5	-	-115/-105	-	-140/+110	-	-	-149/125	-	-	-
5.0	110 DK	48%	Adley Rutschman	hr	o 19.5	-105/-115	'+110	-	-	-	-	-	-125	-	-
4.9	187 PN	35%	NYY	division	o  	'+145	'+135	-	-	150	160	187	-	-	-
4.7	155 365	39%	Julio Rodriguez	sb	o 29.5	'+132	'+115	-	-	-	-	-	'+155	-	-
4.5	110 365	48%	Zack Wheeler	k	o 199.5	-106	-120	-	-	-	-118	-	'+110	-	-
4.5	109 PN	48%	WSH	team_wins	o 72.5	-	-110/-110	-	-115/-115	-	-	109/-129	-	-	-
4.5	110 MGM	48%	Dylan Cease	k	o 205.5	-113/-113	-	'+110/-140	-110/-120	-	-	-	-110/-110	-115/-115	-
4.4	105 ESPN	49%	Juan Soto	hr	o 34.5	-	-135	-	-115/-115	-	-	-	-	'+105/-135	-
4.4	500 365	17%	James Wood	hr	o 29.5	'+310	-	-	-	-	-	-	'+500	'+400	-
4.3	420 FD	19%	Tanner Bibee	k	o 199.5	'+420	-	-	'+400	-	-	-	'+240	-	-
4.3	420 FD	19%	Hunter Brown	k	o 199.5	'+420	-	-	'+400	-	-	-	'+240	-	-
4.2	100 ESPN	50%	Jake Burger	hr	o 26.5	-	-	-	-125/-105	-120/100	-	-	-	'+100/-125	-
4.2	230 365	30%	Brent Rooker	hr	o 39.5	'+196	'+150	-	-	-	-	-	'+230	'+200	-
4.0	125 DK	44%	CHC	division	o  	'+115	'+125	-	-	110	-115	-105	-	-	-
3.8	110 BV	48%	TEX	team_wins	u 85.5	-	-110/-110	-115/-105	-145/+110	-	-	-	-	-	-
3.8	115 PN	47%	LAA	team_wins	u 71.5	-	-120/+100	-	-120/-110	-	-	-137/115	-	-	-
3.8	200 PN	33%	HOU	division	o  	'+170	'+125	-	-	175	175	200	-	-	-
3.6	132 FD	43%	BOS	playoffs	u  	-162/+132	-125/+105	-	-150/+115	-130/110	-143/115	-	-	-	-
3.6	155 365	39%	Anthony Volpe	sb	o 29.5	'+150	'+105	-	-	-	-	-	'+155	-	-
3.4	250 CZ	29%	NYM	playoffs	u  	-290/+225	-250/+205	-	-260/+190	-325/250	-265/200	-	-	-	-
3.4	170 DK	37%	LAD	league	o  	'+135	'+170	-	'+135	140	135	139	-	-	-
3.3	145 DK	41%	HOU	playoffs	u  	-158/+126	-185/+145	-	-165/+125	-150/125	-139/110	-	-	-	-
3.2	220 365	31%	Trea Turner	sb	o 29.5	'+186	'+165	-	-	-	-	-	'+220	-	-
3.1	100 CZ	50%	Oneil Cruz	hr	o 22.5	-	-	-115/-115	-130/100	100/-120	-	-	-	-	-
3.1	-130 ESPN	57%	Gunnar Henderson	hr	o 29.5	-132	-230	-	-	-	-	-	-155	-130	-
3.0	160 365	38%	Luis Arraez	h	o 199.5	-	'+135	-	-	-	125	-	'+160	-	-
3.0	170 ESPN	37%	Kyle Schwarber	hr	o 39.5	'+164	'+120	-	-	-	-	-	'+135	'+170	-
2.9	120 PN	45%	MIN	team_wins	u 83.5	-	-	-125/+105	-	-120/100	-130/105	-143/120	-	-	-
2.8	270 BR	27%	TOR	playoffs	o  	'+198/-250	'+250/-310	-	'+200/-275	250/-330	270/-375	-	-	-	-
2.8	108 PN	48%	TB	team_wins	o 81.5	-	'+100/-120	-	-120/-110	-	-	108/-129	-	-	-
2.8	125 365	44%	Nico Hoerner	sb	o 29.5	'+116	-110	-	-	-	-	-	'+125	-	-
2.8	110 365	48%	Corbin Carroll	sb	o 39.5	'+102	-125	-	-	-	-	-	'+110	-	-
2.7	100 CZ	50%	SEA	team_wins	u 85.5	-	-	-	-115/-115	-120/100	100/-125	-	-	-	-
2.7	180 FD	36%	Jacob Degrom	k	o 199.5	'+180	'+130	-	-	-	150	-	'+160	-	-
2.7	172 FD	37%	Bobby Witt	sb	o 39.5	'+172	'+140	-	-	-	-	-	-	'+140	-
2.6	-240 BR	71%	CIN	playoffs	u  	'+250/-325	'+300/-400	-	'+210/-300	230/-290	185/-240	-	-	-	-
2.6	-142 FD	59%	BAL	playoffs	o  	-142/+116	-155/+130	-	-180/+135	-180/150	-180/140	-	-	-	-
2.5	105 BV	49%	Elly De La Cruz	hr	u 24.5	-110/-110	-	-115/-115	-135/+105	-	-	-	-	-	-
2.4	-195 CZ	66%	NYY	playoffs	o  	-215/+172	-250/+200	-	-230/+170	-195/165	-335/240	-	-	-	-
2.3	225 DK	31%	TEX	division	o  	'+185	'+225	-	-	175	175	191	-	-	-
2.3	105 BV	49%	KC	team_wins	u 82.5	-	-	-115/-105	-135/+105	-110/-110	-	-105/-113	-	-	-
2.3	100 PN	50%	COL	team_wins	o 59.5	-	-	-120/+100	-115/-115	-115/-105	-	-100/-119	-	-	-
2.3	135 ESPN	43%	Bryce Harper	hr	o 29.5	'+124	-115	-	-	-	-	-	'+130	'+135	-
2.2	-105 BV	51%	MIL	team_wins	u 83.5	-	'+100/-120	-	-125/-105	-120/-110	-	118/-141	-	-	-
2.1	100 BR	50%	SEA	team_wins	o 85.5	-	-	-	-115/-115	-120/100	100/-125	-	-	-	-
2.1	-110 DK	52%	SEA	team_wins	o 84.5	-	-110/-110	-125/+105	-	-	-	-127/107	-	-	-
2.1	100 BV	50%	Oneil Cruz	hr	u 22.5	-	-	-115/-115	-130/100	100/-120	-	-	-	-	-
2.0	-115 365	53%	Willson Contreras	hr	o 19.5	-	-245	-120/-110	-	-	-	-	-115	-	-
1.9	185 365	35%	Pete Alonso	hr	o 39.5	'+164	'+120	-	-	-	-	-	'+185	'+180	-
1.9	-125 BV	56%	MIL	playoffs	u  	'+106/-134	'+125/-150	-	-105/-125	140/-170	110/-137	-	-	-	-
1.9	100 MGM	50%	MIA	team_wins	o 62.5	-	-	'+100/-120	-	-	-122/-103	-108/-110	-	-	-
1.8	-165 ESPN	62%	Shohei Ohtani	hr	o 39.5	-205	-230	-	-	-	-	-	-200	-165	-
1.8	-155 365	61%	Elly De La Cruz	sb	o 49.5	-225	-190	-	-	-	-195	-	-155	-180	-
1.8	100 MGM	50%	Brent Rooker	hr	o 34.5	-110/-110	-150	'+100/-125	-	-115/-105	-112/-112	-	-	-115/-115	-
1.7	164 FD	38%	Mookie Betts	hr	o 29.5	'+164	'+105	-	-	-	-	-	'+150	'+160	-
1.6	-110 DK	52%	TEX	team_wins	o 85.5	-	-110/-110	-115/-105	-145/+110	-	-	-	-	-	-
1.6	-115 DK	53%	CLE	team_wins	u 82.5	-	-105/-115	'+105/-125	'+110/-150	-	100/-130	114/-136	-	-	-
1.6	135 BR	43%	ATL	division	o  	'+125	'+110	-	-	110	135	109	-	-	-
1.5	100 BV	50%	Oneil Cruz	sb	u 20.5	-106/-120	-	-	-130/100	-	-	-	-110/-110	-	-
1.5	220 365	31%	Michael Toglia	hr	o 29.5	'+164	'+195	-	-	-	-	-	'+220	-	-
1.5	-125 DK	56%	BOS	playoffs	o  	-162/+132	-125/+105	-	-150/+115	-130/110	-143/115	-	-	-	-
1.4	180 365	36%	Triston Casas	hr	o 29.5	'+176	'+125	-	-	-	-	-	'+180	'+150	-
1.4	100 BR	50%	Rafael Devers	hr	o 29.5	-113	-200	-	-110/-120	-	100/-124	-	-115	-125	-
1.4	-113 BR	53%	Pete Alonso	hr	o 34.5	-	-190	-	-125/-105	-	-113/-113	-	-	-125/+100	-
1.3	-110 BV	52%	TB	team_wins	u 81.5	-	'+100/-120	-	-120/-110	-	-	108/-129	-	-	-
1.3	105 BV	49%	SF	team_wins	u 80.5	-	-110/-110	-	-135/+105	-115/-105	-	-	-	-	-
1.3	105 BV	49%	ATH	team_wins	u 71.5	-	-110/-110	-115/-105	-140/+105	-	-	-	-	-	-
1.3	-115 CZ	53%	ARI	team_wins	o 86.5	-	-120/+100	-130/+110	-140/+105	-115/-105	-	-138/116	-	-	-
1.2	150 CZ	40%	BAL	playoffs	u  	-142/+116	-155/+130	-	-180/+135	-180/150	-180/140	-	-	-	-
1.1	115 BR	47%	SD	playoffs	o  	'+106/-132	'+110/-130	-	-105/-125	-105/-115	115/-143	-	-	-	-
1.1	100 MGM	50%	NYY	team_wins	o 88.5	-	-	'+100/-120	-120/-110	-	-	-109/-109	-	-	-
1.1	-139 BR	58%	HOU	playoffs	o  	-158/+126	-185/+145	-	-165/+125	-150/125	-139/110	-	-	-	-
1.1	-115 MGM	53%	Chris Sale	k	o 179.5	-120/-106	-200	-115/-115	-	-	-	-	-	-	-
1.1	107 PN	48%	ATH	team_wins	u 72.5	-	-	-	-	-120/100	-110/-110	-127/107	-	-	-
1.1	116 PN	46%	ARI	team_wins	u 86.5	-	-120/+100	-130/+110	-140/+105	-115/-105	-	-138/116	-	-	-
1.0	-250 FD	71%	TOR	playoffs	u  	'+198/-250	'+250/-310	-	'+200/-275	250/-330	270/-375	-	-	-	-
1.0	100 ESPN	50%	Riley Greene	hr	o 21.5	-	-	-120/-110	-115/-115	-	-	-	-	'+100/-125	-
1.0	100 BR	50%	Matt Olson	hr	u 32.5	-	-	-	-	-110/-110	-125/100	-	-	-110/-120	-
1.0	-105 PN	51%	KC	team_wins	o 82.5	-	-	-115/-105	-135/+105	-110/-110	-	-105/-113	-	-	-
1.0	100 DK	50%	Aaron Nola	k	o 179.5	-113/-113	'+100	-	-120/-110	-	-	-	-	-	-
0.9	-115 BV	53%	Spencer Steer	hr	o 19.5	-	-165	-	-115/-115	-	-	-	-115	-	-
0.9	-115 CZ	53%	SD	playoffs	u  	'+106/-132	'+110/-130	-	-105/-125	-105/-115	115/-143	-	-	-	-
0.9	-103 BR	51%	MIA	team_wins	u 62.5	-	-	'+100/-120	-	-	-122/-103	-108/-110	-	-	-
0.8	118 CZ	46%	DET	playoffs	o  	-102/-120	'+110/-130	-	100/-130	118/-140	110/-137	-	-	-	-
0.8	-110 BR	52%	ATH	team_wins	o 72.5	-	-	-	-	-120/100	-110/-110	-127/107	-	-	-
0.8	-110 DK	52%	ATH	team_wins	o 71.5	-	-110/-110	-115/-105	-140/+105	-	-	-	-	-	-
0.7	100 ESPN	50%	Mark Vientos	hr	o 29.5	-102	-150	-	-	-	-	-	-105	'+100	-
0.6	100 CZ	50%	Jake Burger	hr	u 26.5	-	-	-	-125/-105	-120/100	-	-	-	'+100/-125	-
0.6	104 FD	49%	Garrett Crochet	k	o 199.5	'+104/-128	-120	-110/-120	-130	-	100	-	-110	-	-
0.6	100 MGM	50%	COL	team_wins	u 59.5	-	-	-120/+100	-115/-115	-115/-105	-	-100/-119	-	-	-
0.5	-110 DK	52%	SF	team_wins	o 80.5	-	-110/-110	-	-135/+105	-115/-105	-	-	-	-	-
0.5	120 BR	45%	MIN	playoffs	o  	'+108/-132	'+105/-125	-	'+110/-145	105/-125	120/-150	-	-	-	-
0.4	-110 CZ	52%	Willy Adames	rbi	o 79.5	-	-145	-	-	-110/-110	-	-	-115	-	-
0.4	115 BV	47%	TEX	playoffs	u  	-138/+112	-125/+105	-	-150/+115	-120/100	-121/-103	-	-	-	-
0.4	100 365	50%	Pete Alonso	rbi	o 99.5	-	-120	-	-115/-115	-	-	-	'+100	-	-
0.3	540 FD	16%	Jack Flaherty	k	o 199.5	'+540	-	-	'+400	-	-	-	'+375	-	-
0.3	-110 FD	52%	Elly De La Cruz	hr	o 24.5	-110/-110	-145	-115/-115	-135/+105	-	-	-	-	-	-
0.2	-106 FD	51%	Oneil Cruz	sb	o 20.5	-106/-120	-	-	-130/100	-	-	-	-110/-110	-	-
0.2	-130 DK	57%	KC	playoffs	u  	'+126/-154	'+110/-130	-	'+115/-150	125/-150	110/-139	-	-	-	-
0.2	-115 FD	53%	Bobby Witt	hr	o 29.5	-115/-105	-135	-	-	-	-	-	-	-135	-
0.0	100 MGM	50%	NYM	team_wins	o 90.5	-	-110/-110	'+100/-120	-115/-115	-	-112/-112	-	-	-	-
0.0	100 CZ	50%	Lawrence Butler	hr	u 23.5	-	-	-115/-115	-	-120/100	-	-	-110/-110	-	-
-0.0	100 BR	50%	LAA	team_wins	o 72.5	-	-	-110/-110	-	-110/-110	100/-125	-	-	-	-
0.0	100 ESPN	50%	Kyle Schwarber	hr	u 35.5	-	-	-	-115/-115	-110/-110	-	-	-	-125/+100	-
0.0	100 BV	50%	Jazz Chisholm	sb	u 33.5	-113/-113	-	-	-130/100	-	-	-	-110/-110	-	-
-0.0	-110 CZ	52%	Jarren Duran	sb	o 29.5	-128	-120	-	-130/100	-110/-110	-	-	-110	-	-
0.0	100 FD	50%	Austin Riley	hr	o 30.5	'+100/-122	-	-	-	-	-	-	-110/-110	-115/-115	-
-0.1	107 PN	48%	SEA	team_wins	u 84.5	-	-110/-110	-125/+105	-	-	-	-127/107	-	-	-
-0.1	-115 DK	53%	Oneil Cruz	sb	o 19.5	-	-115	-	-	-130/109	-	-	-115	-	-
-0.1	-120 FD	55%	DET	playoffs	u  	-102/-120	'+110/-130	-	100/-130	118/-140	110/-137	-	-	-	-
-0.1	146 FD	41%	Cole Ragans	k	o 199.5	'+146	-	-	'+125	-	-	-	'+125	-	-
-0.2	100 BR	50%	STL	team_wins	o 76.5	-	-110/-110	-115/-105	-	-110/-110	100/-121	-102/-117	-	-	-
-0.2	102 PN	50%	SD	team_wins	o 85.5	-	-110/-110	-110/-110	-115/-115	100/-120	-	102/-121	-	-	-
-0.2	-120 CZ	55%	MIN	team_wins	o 83.5	-	-	-125/+105	-	-120/100	-130/105	-143/120	-	-	-
-0.2	-110 CZ	52%	Ketel Marte	hr	o 25.5	-	-	-120/-110	-	-110/-110	-	-	-130/+100	-125/+100	-
-0.2	420 FD	19%	Brenton Doyle	sb	o 39.5	'+420	'+260	-	-	-	-	-	-	'+400	-
-0.3	106 PN	49%	SF	team_wins	u 79.5	-	-	-120/+100	-	-	-115/-106	-126/106	-	-	-
-0.3	290 DK	26%	LAD	world_series	o  	'+240	'+290	-	'+230	230	260	213	-	-	-
-0.3	-105 CZ	51%	Kyle Schwarber	rbi	o 89.5	-	-145	-	-	-105/-115	-112/-112	-	-115	-	-
-0.4	350 ESPN	22%	Freddie Freeman	hr	o 29.5	'+300	'+240	-	-	-	-	-	'+290	'+350	-
-0.5	-105 MGM	51%	STL	team_wins	u 76.5	-	-110/-110	-115/-105	-	-110/-110	100/-121	-102/-117	-	-	-
-0.5	475 365	17%	Steven Kwan	h	o 199.5	-	'+360	-	'+350	-	350	-	'+475	-	-
-0.5	235 FD	30%	Shohei Ohtani	hr	o 49.5	'+235	'+190	-	-	-	-	-	'+200	-	-
-0.5	114 PN	47%	CLE	team_wins	o 82.5	-	-105/-115	'+105/-125	'+110/-150	-	100/-130	114/-136	-	-	-
-0.5	-120 DK	55%	BOS	team_wins	o 86.5	-	-120/+100	-130/+110	-140/+105	-120/100	-139/110	-136/115	-	-	-
-0.6	-250 CZ	71%	PHI	playoffs	o  	-300/+235	-265/+220	-	-300/+220	-250/200	-335/235	-	-	-	-
-0.6	190 FD	34%	Jazz Chisholm	sb	o 39.5	'+190	'+130	-	-	-	-	-	'+190	'+170	-
-0.7	-110 DK	52%	WSH	team_wins	u 72.5	-	-110/-110	-	-115/-115	-	-	109/-129	-	-	-
-0.7	-120 CZ	55%	TEX	playoffs	o  	-138/+112	-125/+105	-	-150/+115	-120/100	-121/-103	-	-	-	-
-0.7	115 DK	47%	Corey Seager	hr	o 29.5	-128	'+115	-	-	-	-	-	'+115	'+115	-
-0.7	-300 CZ	75%	ATL	playoffs	o  	-400/+290	-400/+270	-	-400/+275	-300/240	-335/240	-	-	-	-
-0.8	103 PN	49%	HOU	team_wins	o 86.5	-	-	-110/-110	-105/-125	100/-120	-110/-110	103/-123	-	-	-
-0.8	115 PN	47%	BOS	team_wins	u 86.5	-	-120/+100	-130/+110	-140/+105	-120/100	-139/110	-136/115	-	-	-
-0.9	-104 FD	51%	Bryce Harper	hr	o 27.5	-104/-118	-	-	-115/-115	-	-	-	-115/-105	-	-
-1.0	240 365	29%	Pete Crow Armstrong	sb	o 39.5	'+186	'+215	-	-	-	-	-	'+240	'+200	-
-1.0	-125 DK	56%	MIN	playoffs	u  	'+108/-132	'+105/-125	-	'+110/-145	105/-125	120/-150	-	-	-	-
-1.0	340 FD	23%	Fernando Tatis	sb	o 29.5	'+340	'+265	-	-	-	-	-	'+275	-	-
-1.0	-110 CZ	52%	Bryce Harper	rbi	o 89.5	-	-130	-	-	-110/-110	-	-	-120	-	-
-1.0	-105 365	51%	Bryce Harper	hr	u 27.5	-104/-118	-	-	-115/-115	-	-	-	-115/-105	-	-
-1.0	375 365	21%	Alex Bregman	hr	o 29.5	'+280	'+350	-	-	-	-	-	'+375	'+260	-
-1.1	-475 DK	83%	STL	playoffs	u  	'+470/-700	'+360/-475	-	'+415/-650	425/-600	375/-560	-	-	-	-
-1.1	100 ESPN	50%	Rafael Devers	hr	o 30.5	-	-	-115/-115	-	-	-	-	-105/-115	'+100/-125	-
-1.1	248 PN	29%	PHI	division	o  	'+195	'+215	-	-	215	200	248	-	-	-
-1.1	100 DK	50%	Michael King	k	o 179.5	-105/-115	'+100	-	-	-	-	-	-	-115/-115	-
-1.1	126 FD	44%	KC	playoffs	o  	'+126/-154	'+110/-130	-	'+115/-150	125/-150	110/-139	-	-	-	-
-1.1	-110 CZ	52%	Julio Rodriguez	sb	o 26.5	-128/-102	-	-	-120/-110	-110/-110	-	-	-	-	-
-1.1	-105 CZ	51%	Brent Rooker	hr	u 34.5	-110/-110	-	'+100/-125	-	-115/-105	-112/-112	-	-	-115/-115	-
